year,kabupaten,kab_id,provinsi,prov_id,deforestasi_ha
2001,TELUK BINTUNI,ID-9206,PAPUA BARAT,ID-92,30.18645793457028
2001,TELUK WONDAMA,ID-9207,PAPUA BARAT,ID-92,0.0
2001,TEMANGGUNG,ID-3323,JAWA TENGAH,ID-33,0.0
2001,TIMOR TENGAH SELATAN,ID-5302,NUSA TENGGARA TIMUR,ID-53,0.0
2001,TIMOR TENGAH UTARA,ID-5303,NUSA TENGGARA TIMUR,ID-53,0.0
2001,TOBA,ID-1212,SUMATERA UTARA,ID-12,0.0
2001,TOJO UNA UNA,ID-7209,SULAWESI TENGAH,ID-72,0.0
2001,TOLIKARA,ID-9114,PAPUA PEGUNUNGAN,ID-95,0.0
2001,TOLI TOLI,ID-7204,SULAWESI TENGAH,ID-72,0.0
2001,TORAJA UTARA,ID-7326,SULAWESI SELATAN,ID-73,0.0
2001,TRENGGALEK,ID-3503,JAWA TIMUR,ID-35,0.0
2001,TUBAN,ID-3523,JAWA TIMUR,ID-35,0.0
2001,TULANG BAWANG,ID-1805,LAMPUNG,ID-18,0.0
2001,TULANG BAWANG BARAT,ID-1812,LAMPUNG,ID-18,0.0
2001,TULUNGAGUNG,ID-3504,JAWA TIMUR,ID-35,0.0
2001,WAJO,ID-7313,SULAWESI SELATAN,ID-73,0.0
2001,WAKATOBI,ID-7407,SULAWESI TENGGARA,ID-74,0.0
2001,WAROPEN,ID-9115,PAPUA,ID-91,0.0
2001,WAY KANAN,ID-1808,LAMPUNG,ID-18,0.0
2001,WONOGIRI,ID-3312,JAWA TENGAH,ID-33,0.0
2001,WONOSOBO,ID-3307,JAWA TENGAH,ID-33,0.0
2001,YAHUKIMO,ID-9113,PAPUA PEGUNUNGAN,ID-95,0.0
2001,YALIMO,ID-9122,PAPUA PEGUNUNGAN,ID-95,0.0
2002,ACEH BARAT,ID-1105,ACEH,ID-11,0.0
2002,ACEH BARAT DAYA,ID-1112,ACEH,ID-11,0.0
2002,ACEH BESAR,ID-1106,ACEH,ID-11,0.0
2002,ACEH JAYA,ID-1114,ACEH,ID-11,0.0
2002,ACEH SELATAN,ID-1101,ACEH,ID-11,0.0
